,rule,type,coef,support,importance,category
1266,slope_zcd_MCT_UE_CLN_REU_RAT <= 0.03064,ZCD,0.07445226361964201,0.920863309352518,0.02009853643948762,치킨
1267,slope_zcd_M12_FME_50_RAT > 0.00531,ZCD,1.6719397762460102,0.38848920863309355,0.814914738475599,치킨
1268,slope_zcd_MCT_UE_CLN_REU_RAT > 0.02104,ZCD,1.3200267132904995,0.1079136690647482,0.40956646709898725,치킨
1269,mean_zcd_M12_FME_1020_RAT > -0.05678,ZCD,2.5720512763335073,0.4028776978417266,1.2615308687514701,치킨
1270,slope_zcd_RC_M1_TO_UE_CT > 0.00891,ZCD,2.948811244898409,0.2733812949640288,1.3142701945829376,치킨
1271,slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.04215,ZCD,1.670981487324586,0.050359712230215826,0.36542042952964204,치킨
1272,slope_zcd_RC_M1_SHC_FLP_UE_CLN_RAT <= 0.00323,ZCD,2.737297720289597,0.16546762589928057,1.0171854705227692,치킨
1273,mean_zcd_RC_M1_SHC_FLP_UE_CLN_RAT > 0.13675,ZCD,4.1176831056586645,0.05755395683453238,0.9590003410153929,치킨
1274,slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.04213,ZCD,2.512097742380634,0.050359712230215826,0.5493608654581464,치킨
1275,slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.03665,ZCD,0.2708290958383369,0.07913669064748201,0.07311085233604982,치킨
