rule,type,coef,support,importance,category
mean_all_M12_MAL_30_RAT > -5.66535,general,-0.04049284490509242,0.9952692047758505,0.002778533569413198,
mean_all_M12_SME_RY_SAA_PCE_RT <= 2.38279,general,-0.052209305243430294,0.9952692047758505,0.0035824923537631716,
mean_all_MCT_UE_CLN_REU_RAT > -2.21499,general,-0.3789269628756531,0.980851543140347,0.051930683552491926,
slope_all_M12_SME_BZN_SAA_PCE_RT > -0.08281,general,-0.005123133821705259,0.992115341293084,0.0004531147842159015,
mean_all_M1_SME_RY_SAA_RAT <= 2.50776,general,-0.053201696683599156,0.980851543140347,0.007291116087292724,
mean_all_RC_M1_UE_CUS_CN <= 1.79803,general,0.013024968090796509,0.9950439288127957,0.0009146744818328609,
slope_all_M1_SME_RY_CNT_RAT > -0.04869,general,-0.04613875315743824,0.9806262671772922,0.006359518986384683,
mean_all_M12_SME_BZN_SAA_PCE_RT <= 2.63888,general,-0.026542656837151655,0.9966208605541789,0.0015403252541410684,
mean_all_M1_SME_RY_SAA_RAT > -0.80186,general,0.04131755943271645,0.9909889614778103,0.0039044196706109714,
mean_all_M12_FME_1020_RAT > -4.69703,general,0.08362093052407174,0.9945933768866861,0.006131981357058478,
slope_all_M1_SME_RY_CNT_RAT <= 0.17574,general,-0.01504706817429137,0.9952692047758505,0.0010324980658066734,
slope_all_M1_SME_RY_CNT_RAT > -0.04684,general,0.030829652529461155,0.9801757152511827,0.004297534409325843,
slope_all_M1_SME_RY_SAA_RAT > -0.04765,general,-0.16708623449479146,0.9754449200270331,0.025859059406073286,
mean_all_M12_FME_40_RAT > -3.19639,general,-0.03171127282924873,0.9878350979950439,0.003476243644411865,
slope_all_RC_M1_UE_CUS_CN > -0.10872,general,-0.07480048441968722,0.9943681009236315,0.005597646055660056,
mean_all_M12_SME_BZN_SAA_PCE_RT <= 2.2346,general,-0.008210312165286546,0.986032890290606,0.0009635153609346778,
slope_all_RC_M1_UE_CUS_CN > -0.10786,general,0.0657815109874752,0.993016445145303,0.005477978705951433,
mean_all_M1_SME_RY_SAA_RAT <= 2.62113,general,-0.03833568427355098,0.9826537508447849,0.00500502519221165,
slope_all_M1_SME_RY_CNT_RAT > -0.0713,general,-0.05177250486427016,0.9900878576255914,0.005128847788904613,
mean_all_M12_MAL_50_RAT <= 0.15399,general,0.20136622994534695,0.5055192610948411,0.1006769807187694,
slope_all_RC_M1_TO_UE_CT > 0.01393,general,0.8686405637134063,0.23473755350304124,0.3681599938273187,
mean_all_M12_FME_50_RAT <= 0.154,general,0.17025297111481533,0.46406848389276867,0.08490639187353861,
mean_all_MCT_UE_CLN_NEW_RAT <= 0.13925,general,-0.45002643614660837,0.3550349177742735,0.21534840629855428,
slope_all_RC_M1_TO_UE_CT > 0.01539,general,-0.3798727390014172,0.22054516783059247,0.157500660155784,
slope_all_RC_M1_SHC_RSD_UE_CLN_RAT <= 0.00178,general,0.4151111297280892,0.15724262221220997,0.15111264175172245,
slope_all_M1_SME_RY_CNT_RAT <= -0.00559,general,0.33445329006103647,0.31876548772246,0.15585453395836782,
slope_all_M1_SME_RY_CNT_RAT <= -0.00897,general,-0.2696081341266737,0.26267177292182925,0.11865065052010637,
slope_all_M12_SME_BZN_SAA_PCE_RT > 0.03103,general,-0.367921425785584,0.1252534354584366,0.12178422187653436,
slope_all_MCT_UE_CLN_NEW_RAT <= -0.00054,general,-0.6788488028461979,0.7548997521964407,0.2920045193237399,
slope_all_RC_M1_AV_NP_AT > 0.03687,general,2.089621177341637,0.10227528722685289,0.6331760879458574,
slope_all_MCT_UE_CLN_NEW_RAT <= -0.00055,general,-0.2653150411442658,0.10407749493129083,0.08101687916361919,
slope_all_RC_M1_UE_CUS_CN > 0.025,general,2.1416248016186066e-05,0.13854471727866638,7.398688488275403e-06,
mean_all_M12_FME_30_RAT > 0.15409,general,0.5154953230280928,0.06014868213561613,0.12256525268603563,
slope_all_RC_M1_AV_NP_AT > 0.03738,general,-2.156305733359971,0.10137418337463393,0.6508238619914296,
slope_all_RC_M1_SAA > 0.03744,general,-0.1310888054785316,0.09033566118495157,0.03757818538882695,
slope_all_M12_MAL_40_RAT <= -0.00033,general,0.6738890161559485,0.09303897274160847,0.19575602777792733,
slope_all_MCT_UE_CLN_NEW_RAT <= -0.00056,general,1.3488822405498002,0.08740707366523992,0.3809657001007604,
slope_all_MCT_UE_CLN_REU_RAT <= -0.00056,general,0.3293757523014563,0.08898400540662312,0.09378008040189327,
mean_all_M12_FME_50_RAT > 0.15408,general,0.8968291388361984,0.046181572426222124,0.1882248340022439,
slope_all_M12_SME_BZN_SAA_PCE_RT > 0.05717,general,-2.1482936488230178,0.063753097544492,0.5248551786777583,
slope_all_MCT_UE_CLN_REU_RAT <= -0.00055,general,1.1378138155941764,0.10205001126379815,0.34443224780496473,
slope_all_M12_SME_BZN_SAA_PCE_RT <= -0.06603,general,1.5719863221075678,0.02320342419463843,0.23666109358141332,
slope_all_M12_SME_BZN_SAA_PCE_RT > 0.05732,general,2.5368120478466447,0.06307726965532778,0.6167037970751863,
slope_all_M12_MAL_30_RAT <= -0.00033,general,0.2029339629279562,0.09348952466771795,0.05907757031717925,
slope_all_M12_MAL_60_RAT <= -0.00033,general,0.5180276075548317,0.09394007659382744,0.1511321362265868,
slope_all_M12_FME_30_RAT <= -0.00033,general,-1.5018535825181838,0.09236314485244425,0.43484352924902203,
slope_all_M12_FME_1020_RAT <= -0.00033,general,1.855469555284531,0.0910114890741158,0.5336802607776749,
slope_all_M1_SME_RY_CNT_RAT <= -0.04684,general,-2.234562215989096,0.0198242847488173,0.31148933656698596,
slope_all_M1_SME_RY_CNT_RAT <= -0.04916,general,1.7018588343431245,0.019148456859653076,0.23323410903933897,
slope_all_M1_SME_RY_SAA_RAT <= -0.0597,general,-0.818024347481603,0.013291281820229782,0.09367940984800827,
slope_all_M1_SME_RY_CNT_RAT > 0.11504,general,0.9332379273389789,0.010813246226627618,0.0965182797109932,
slope_all_RC_M1_AV_NP_AT > 0.08974,general,1.1204131158585156,0.020500112637981526,0.15876636550734743,
slope_all_M1_SME_RY_SAA_RAT <= -0.04765,general,4.980797482273228,0.024555079972966885,0.7708518800077372,
mean_all_M1_SME_RY_SAA_RAT > 2.61741,general,0.08131362006212187,0.017346249155215137,0.010616132843144091,
slope_all_M1_SME_RY_CNT_RAT <= -0.05088,general,0.4462945219455554,0.01667042126605091,0.05714054719155584,
slope_all_M1_SME_RY_CNT_RAT <= -0.04869,general,0.22243101908651877,0.019373732822707816,0.03065870211565444,
slope_all_M1_SME_RY_SAA_RAT <= -0.04754,general,-4.556421417894097,0.024780355936021625,0.7083189732424945,
mean_all_MCT_UE_CLN_NEW_RAT <= -2.86866,general,0.4170685024384521,0.013741833746339265,0.048554003321146275,
mean_all_M12_FME_40_RAT <= -3.19639,general,-1.4262481636104627,0.012164902004956072,0.15634774866343368,
slope_all_M1_SME_RY_SAA_RAT <= -0.10201,general,0.1442487672830801,0.003829691371930615,0.008909653105471118,
mean_all_M1_SME_RY_SAA_RAT > 2.50776,general,2.1788912342250537,0.019148456859653076,0.29860981736728803,
slope_all_RC_M1_UE_CUS_CN <= -0.09746,general,-5.151588002895331,0.01419238567244875,0.6093473257805031,
mean_all_MCT_UE_CLN_REU_RAT <= -2.21499,general,14.71756985990044,0.019148456859653076,2.0169941385432373,
slope_all_RC_M1_UE_CUS_CN <= -0.10872,general,6.769292669597295,0.005631899076368551,0.506575655298923,
mean_all_M12_SME_BZN_SAA_PCE_RT > 2.2346,general,-1.341972585740882,0.013967109709394007,0.15748624099598332,
slope_all_M1_SME_RY_CNT_RAT > 0.17574,general,1.2148872818326812,0.004730795224149583,0.08336300162502916,
slope_all_RC_M1_UE_CUS_CN <= -0.10098,general,6.316508934153708,0.01193962604190133,0.686063347745805,
mean_all_M1_SME_RY_SAA_RAT > 2.62113,general,0.00026925190009834566,0.017346249155215137,3.5152953927389186e-05,
slope_all_M1_SME_RY_SAA_RAT <= -0.07663,general,0.6774122999606528,0.008560486596080198,0.06240730315435749,
mean_all_M12_SME_RY_SAA_PCE_RT > 2.3591,general,0.05839227291344535,0.005631899076368551,0.00436974811982562,
mean_all_M12_SME_RY_SAA_PCE_RT > 2.38654,general,2.3182895317286913,0.004730795224149583,0.15907613561420375,
mean_all_M12_SME_BZN_SAA_PCE_RT > 2.63888,general,5.321253369106232,0.003379139445821131,0.30880333488865425,
