ENCODED_MCT,date,content
C6A7D1B09B,2024-12-19,
C6A7D1B09B,2023-10-22,굿
C6A7D1B09B,2023-03-20,가격저렴하고좋아용 ^__^
C6A7D1B09B,2023-03-14,맛나요
C6A7D1B09B,2023-03-05,사장님 친절하시고 커피도 맛있어요~^^
C6A7D1B09B,2023-02-24,가성비 좋은 까페입니다. 특히 아이스커피도 가격이 같아서 정말 마음에 듭니다!
