ENCODED_MCT,date,content
C07C0292B5,2024-06-26,단골 스크린입니다 주차가 편해요
C07C0292B5,2024-03-14,
C07C0292B5,2024-01-06,.
C07C0292B5,2024-01-06,.
C07C0292B5,2023-12-02,.
C07C0292B5,2023-11-19,.
C07C0292B5,2023-11-19,.
C07C0292B5,2023-11-11,.
C07C0292B5,2023-10-13,굿
C07C0292B5,2023-10-06,굿
C07C0292B5,2023-07-28,굿
C07C0292B5,2023-06-16,^^
C07C0292B5,2023-06-15,"이상하게 거리, 방향 보정이 되는듯..연습모드랑 달라요 게임이랑"
C07C0292B5,2023-06-04,"굿!

"
C07C0292B5,2023-05-29,^^
C07C0292B5,2023-05-20,^^
C07C0292B5,2023-05-11,커피 맛집
