ENCODED_MCT,date,content
F67809447B,2023-09-17,항상 신나고 재밌는 똥파리💗
F67809447B,2023-08-06,"똥파리는,, 엄청난 짜파게티 맛집,,👍🏻"
F67809447B,2023-08-04,"노래는 실컷 부르고 놀 수 있어서 좋은데
화장실이 너무 무섭고 더러워서 별로에요"
F67809447B,2023-07-09,"다 좋은데 무선마이크로 바뀌었으면,, 해요,,"
F67809447B,2023-07-05,❤️
F67809447B,2023-03-04,단체모임하기 좋아요~~서비스도 팍팍
F67809447B,2023-02-20,"사장님 엄청 친절하세요ㅠㅠ진짜 사장님 뵈러 또 갈거예요 ㅎㅎㅎㅎㅎ 무제한 노래방에 3마넌이면 완전 혜자,, 과일안주에 소주 시켜서 노래 원없이 네시간 부르고 나왔어요!!! ㅎㅎ 사장님께선 계속 더 놀다가도 괜찮다고 해주시고ㅠㅠ 넓기도 넓고 가성비도 좋구 친절하셔서 또 갈거에용 ㅎㅎ 안주종류도 많아요"
F67809447B,2023-02-18,친절하니 좋아요
