ENCODED_MCT,date,content
1EAFF3E9E0,2025-09-08,
1EAFF3E9E0,2025-07-09,굿
1EAFF3E9E0,2025-07-05,맛이좋고 가격적정수준
1EAFF3E9E0,2024-10-23,반찬도 맛있고 무엇보다 간이 세지 않아 좋아요~~
1EAFF3E9E0,2024-08-21,역이랑 가까워서 위치는 좋은데 고기양이 생각보다 적었어요.ㅜㅡ고물가시대의 직장인 비애.
1EAFF3E9E0,2024-05-08,"돼지갈비가 먹고 싶어서 장한평역 근처로 찾아서 갔어요 리뷰가 적어서 갈까말까 했었는데 숨은 맛집 이였음 잘먹었습니당^^
"
1EAFF3E9E0,2024-03-05,저녁식사로 맛있는 숯불 대왕갈비에 입맛 당기는 차돌된장에 공기밥으로 든든히 먹었습니다
1EAFF3E9E0,2023-04-07,제육쌈밥맛나게먹고왔어요
1EAFF3E9E0,2023-03-31,맛있게 잘 먹었어요
