ENCODED_MCT,date,content
B8DFA92D86,2025-07-24,"최고로 좋아하는 과일 가게예요💛
배민으로만 시켜 먹다가 처음으로 직접 가서 과일 주스 구매했습니다 ^3^ 정말 맛있어요 👍
사장님 부자되세요!"
B8DFA92D86,2023-10-03,맛있어요 감사합니다 null
